source_cluster_id,target_cluster_id,relation_type,description,source_trigger,source_summary,target_trigger,target_summary,confidence_score,explanation,evidence_type,source_trigger_arguments,target_trigger_arguments,source_trigger_time,target_trigger_time,source_agent,target_agent,source_location,target_location,source_lat,source_lon,target_lat,target_lon
42,44,causes,The plan to merge USAID into the State Department is a direct response to President Trump's executive order pausing most foreign aid.,merging the US international aid agency (USAID) into the State Department,The Trump administration considers integrating USAID into the State Department to better align with 'America First' policy objectives.,90-day pause in most of foreign aid,"President Trump issued an executive order pausing most foreign aid, citing misalignment with American interests.",,,,,"{'agent': 'Donald Trump', 'object': 'foreign aid', 'location': 'United States', 'time': '2025-01-20', 'counterpart': None, 'impact_summary': 'The pause creates uncertainties for international humanitarian efforts funded by US aid.', 'cause': 'Concerns about foreign aid not serving American ideals'}",,2025-01-20,,Donald Trump,,United States,,,39.7837304,-100.445882
447,179,causes,The retaliation is a direct response to the US tariffs.,Rubio to make debut in Panama,Marco Rubio embarked on his first international trip as US Secretary of State to Panama amidst escalating tensions over President Donald Trump's remarks regarding the Panama Canal.,retaliate against US tariffs,Canada and Mexico have announced that they will retaliate against US tariffs imposed by President Donald Trump.,,,,,,,,,,,,,,,
240,239,causes,South Africa's deadline is a response to pressure from China,blaming Chinese pressure,"Taiwan has accused China of exerting pressure on South Africa, causing the demand for the embassy's relocation.",deadline to relocate,The South African government set a deadline for Taiwan to relocate its de facto embassy from Pretoria by the end of March 2025 due to Chinese pressure.,,,,,"{'agent': 'South African government', 'object': ""Taiwan's de facto embassy"", 'location': 'Pretoria, South Africa', 'time': '2025-02-03', 'counterpart': 'Taiwanese Foreign Ministry', 'impact_summary': ""The decision strains Taiwan's diplomatic presence in South Africa under China's growing political influence."", 'cause': 'Chinese pressure'}",,2025-02-03,,South African government,,"Pretoria, South Africa",,,-25.7459277,28.1879101
3973,447,causes,Rubio's trip is in response to Trump's statements about the Panama Canal,surprise threat to retake control of the Panama Canal,"Donald Trump threatens to retake control of the Panama Canal, challenging the current Panamanian management and warning against Chinese influence.",Rubio to make debut in Panama,Marco Rubio embarked on his first international trip as US Secretary of State to Panama amidst escalating tensions over President Donald Trump's remarks regarding the Panama Canal.,,,,,,,,,,,,,,,
1975,1903,causes,Revival of TikTok is a response to its shutdown due to national security concerns,TikTok stopped working,TikTok stopped working for its American users due to a law aimed at shutting it down on national security grounds.,revive TikTok access,"President-elect Donald Trump announced plans to revive TikTok access in the U.S. by executive order, contingent on a 50% U.S. ownership stake.",,,,,,,,,,,,,,,
2570,2798,causes,The new US sanctions led to an increase in oil prices.,new US sanctions,The United States imposed sweeping sanctions on Russia's oil industry to target Russia's oil and gas revenues aimed at influencing peace negotiations in Ukraine.,Global oil prices jumped,"Global oil prices surged by more than 3% after news of the U.S. sanctions on Russian oil spread, reflecting market concerns.",,,,,,,,,,,,,,,
2850,4134,related_to,The acquisition plan is related to regional tensions with China.,plans to acquire the US Typhon missile system,The Philippine military announced its plan to acquire the US Typhon missile system to enhance its maritime defense in response to regional tensions with China.,deployed the mid-range missile system in the northern Philippines,"The US Army deployed the US Typhon missile system in the northern Philippines for joint military exercises with the Philippine forces, leading to heightened tensions with China.",,,,,,,,,,,,,,,
3788,3789,causes,The planned tariffs are contributing to expected slower economic growth in Singapore.,raise tariffs by as much as 20 per cent,"US President-elect Donald Trump plans to increase tariffs by 20% on all trading partners, significantly affecting global trade dynamics.",economic growth rate of Singapore is anticipated to decelerate,Singapore's economic growth is expected to slow down in 2025 due to global trade tensions.,,,,"{'agent': 'US President-elect Donald Trump', 'object': 'tariffs', 'location': 'United States', 'time': '2025-01-20', 'counterpart': 'Trading Partners, including China', 'impact_summary': 'The increased tariffs could elevate global import prices, diminish demand, and impact GDP growth for countries like Singapore.', 'cause': ""Trump's economic policy focused on protectionism.""}",,2025-01-20,,US President-elect Donald Trump,,United States,,39.7837304,-100.445882,,
4427,4122,causes,Merger talks were a response to Honda and Nissan's declining sales.,discuss merger,"Honda and Nissan have agreed to explore a merger, which would lead to the creation of the world's third-largest automaker, indicating a major shift in the automotive industry.","announced a plan to cut 9,000 jobs","Nissan plans to cut 9,000 jobs and reduce its global production capacity by 20% due to declining sales in key markets.",,,,"{'agent': 'Honda, Nissan', 'object': 'Merger', 'location': 'Global', 'time': '2024-12-23', 'counterpart': 'Mitsubishi Motors', 'impact_summary': 'The merger signifies an industry-wide response to intense competition from Tesla and Chinese brands as well as aiming for substantial financial gains.', 'cause': 'To create a larger automotive group addressing market challenges.'}","{'agent': 'Nissan', 'object': 'job cuts and production capacity reduction', 'location': 'China and US markets', 'time': '2023-11', 'counterpart': None, 'impact_summary': 'Addressing drops in sales figures in significant markets, impacting workforce and manufacturing levels.', 'cause': 'Plummeting sales in China and US, competitive market pressures from local manufacturers.'}",2024-12-23,2023-11,"Honda, Nissan",Nissan,Global,China and US markets,55.702215,12.5592485,,
4704,4701,causes,The acquisition is a response to increasing Chinese military pressure.,China increased military pressure,"China has increased its military activities around Taiwan by deploying fighter jets and warships, simulating attacks, and practising blockade strategies.",received 38 advanced Abrams battle tanks,Taiwan has received its first batch of 38 advanced Abrams tanks from the United States to enhance its military capabilities against potential Chinese aggression.,,,,,,,,,,,,,,,
